Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-06,690.0,707.0,684.27,703.48,12662900,0,0
2020-03-09,605.39,663.0,605.0,608.0,17073700,0,0
2020-03-10,659.43,668.0,608.0,645.33,15594400,0,0
2020-03-11,640.2,653.58,613.0,634.23,13322500,0,0
2020-03-12,580.89,594.5,546.25,560.55,18909100,0,0
2020-03-13,595.0,607.57,502.0,546.62,22640300,0,0
2020-03-16,469.5,494.87,442.17,445.07,20489500,0,0
2020-03-17,440.01,471.85,396.0,430.2,23994600,0,0
2020-03-18,389.0,404.86,350.51,361.22,23786200,0,0
2020-03-19,374.7,452.0,358.46,427.64,30195500,0,0
2020-03-20,438.2,477.0,425.79,427.53,28285500,0,0
2020-03-23,433.6,442.0,410.5,434.29,16454500,0,0
2020-03-24,477.3,513.69,474.0,505.0,22895200,0,0
2020-03-25,545.25,557.0,511.11,539.25,21222700,0,0
2020-03-26,547.39,560.0,512.25,528.16,17380700,0,0
2020-03-27,505.0,525.8,494.03,514.36,14377400,0,0
2020-03-30,510.26,516.65,491.23,502.13,11998100,0,0
2020-03-31,501.25,542.96,497.0,524.0,17771500,0,0
2020-04-01,504.0,513.95,475.1,481.56,13353200,0,0
2020-04-02,481.03,494.26,446.4,454.47,19858400,0,0
2020-04-03,509.5,515.49,468.39,480.01,22562100,0,0
2020-04-06,511.2,521.0,497.96,516.24,14901800,0,0
2020-04-07,545.0,565.0,532.34,545.45,17919800,0,0
2020-04-08,554.2,557.21,533.33,548.84,12656000,0,0
2020-04-09,562.09,575.18,557.11,573.0,13650000,0,0
2020-04-13,590.16,652.0,580.53,650.95,22475400,0,0
2020-04-14,698.97,741.88,692.43,709.89,30576500,0,0
2020-04-15,742.0,753.13,710.0,729.83,23577000,0,0
2020-04-16,716.94,759.45,706.72,745.21,20657900,0,0
2020-04-17,772.28,774.95,747.66,753.89,13128200,0,0
2020-04-20,732.7,765.57,712.21,746.36,14746600,0,0
2020-04-21,730.12,753.33,673.79,686.72,20209100,0,0
2020-04-22,703.98,734.0,688.71,732.11,14224800,0,0
2020-04-23,727.6,734.0,703.13,705.63,13236700,0,0
2020-04-24,710.81,730.73,698.18,725.15,13237600,0,0
2020-04-27,737.61,799.49,735.0,798.75,20681400,0,0
2020-04-28,795.64,805.0,756.69,769.12,15222000,0,0
2020-04-29,790.17,803.2,783.16,800.51,16216000,0,0
2020-04-30,855.19,869.82,763.5,781.88,28400100,0,0
2020-05-01,755.0,772.77,683.04,701.32,32531800,0,0
2020-05-04,701.0,762.0,698.0,761.19,19237100,0,0
2020-05-05,789.79,798.92,762.18,768.21,16991700,0,0
2020-05-06,776.5,789.8,761.11,782.58,11123200,0,0
2020-05-07,777.21,796.4,772.35,780.04,11527700,0,0
2020-05-08,793.77,824.0,787.01,819.42,16130100,0,0
2020-05-11,790.51,824.0,785.0,811.29,16471100,0,0
2020-05-12,827.0,843.29,808.0,809.41,15906900,0,0
2020-05-13,820.83,826.0,763.3,790.96,19065500,0,0
2020-05-14,780.0,803.36,764.0,803.33,13682200,0,0
2020-05-15,790.35,805.05,786.55,799.17,10518400,0,0
2020-05-18,827.78,834.72,803.88,813.63,11698100,0,0
2020-05-19,815.17,822.07,806.08,808.01,9636500,0,0
2020-05-20,820.5,826.0,811.8,815.56,7309300,0,0
2020-05-21,816.0,832.5,796.0,827.6,12254600,0,0
2020-05-22,822.17,831.78,812.0,816.88,9987500,0,0
2020-05-26,834.5,834.6,815.71,818.87,8089700,0,0
2020-05-27,820.86,827.71,785.0,820.23,11549500,0,0
2020-05-28,813.51,824.75,801.69,805.81,7255600,0,0
2020-05-29,808.75,835.0,804.21,835.0,11812500,0,0
2020-06-01,858.0,899.0,854.1,898.1,14939500,0,0
2020-06-02,894.7,908.66,871.0,881.56,13565600,0,0
2020-06-03,888.12,897.94,880.1,882.96,7949500,0,0
2020-06-04,889.88,895.75,858.44,864.38,8887700,0,0
2020-06-05,877.84,886.52,866.2,885.66,7811900,0,0
2020-06-08,919.0,950.0,909.16,949.92,14174700,0,0
2020-06-09,940.01,954.44,923.93,940.67,11388200,0,0
2020-06-10,991.88,1027.48,982.5,1025.05,18563400,0,0
2020-06-11,990.2,1018.96,972.0,972.84,15916500,0,0
2020-06-12,980.0,987.98,912.6,935.28,16730200,0,0
2020-06-15,917.79,998.84,908.5,990.9,15697200,0,0
2020-06-16,1011.85,1012.88,962.39,982.13,14051100,0,0
2020-06-17,987.71,1005.0,982.57,991.79,9869400,0,0
2020-06-18,1003.0,1019.2,994.47,1003.96,9751900,0,0
2020-06-19,1012.78,1015.97,991.34,1000.9,8679700,0,0
2020-06-22,999.95,1008.88,990.02,994.32,6362400,0,0
2020-06-23,998.88,1012.0,994.01,1001.78,6365300,0,0
2020-06-24,994.11,1000.88,953.14,960.85,10959600,0,0
2020-06-25,954.27,985.98,937.15,985.98,9254500,0,0
2020-06-26,994.78,995.0,954.87,959.74,8854900,0,0
2020-06-29,969.01,1010.0,948.52,1009.35,9026400,0,0
2020-06-30,1006.5,1087.69,1003.73,1079.81,16918500,0,0
2020-07-01,1083.0,1135.33,1080.5,1119.63,13326900,0,0
2020-07-02,1221.48,1228.0,1185.6,1208.66,17250100,0,0
2020-07-06,1276.69,1377.79,1266.04,1371.58,20569900,0,0
2020-07-07,1405.01,1429.5,1336.71,1389.86,21489700,0,0
2020-07-08,1405.0,1417.26,1311.34,1365.88,16311300,0,0
2020-07-09,1396.99,1408.56,1351.28,1394.28,11717600,0,0
2020-07-10,1396.0,1548.92,1376.01,1544.65,23281000,0,0
